,Algorithm,n,time
1025,SHAP-IQ,720,12.190254211425781
1026,STAR-SHAP (5-STAR),770,6.473812103271484
1027,Kernel SHAP,770,58.507054567337036
1028,Unbiased Kernel SHAP,770,13.14605975151062
1029,SHAP-IQ,770,13.094557285308838
1030,STAR-SHAP (5-STAR),820,6.588129758834839
1031,Kernel SHAP,820,58.608808517456055
1032,Unbiased Kernel SHAP,820,14.167708158493042
1033,SHAP-IQ,820,14.198588609695435
1034,STAR-SHAP (5-STAR),870,6.654939651489258
1035,Kernel SHAP,870,58.38893485069275
1036,Unbiased Kernel SHAP,870,15.183692693710327
1037,SHAP-IQ,870,15.1669340133667
1038,STAR-SHAP (5-STAR),920,6.690845966339111
1039,Kernel SHAP,920,60.95226454734802
1040,Unbiased Kernel SHAP,920,16.357691526412964
1041,SHAP-IQ,920,16.2788143157959
1042,STAR-SHAP (5-STAR),970,6.798102378845215
1043,Kernel SHAP,970,62.679887771606445
1044,Unbiased Kernel SHAP,970,17.371909618377686
1045,SHAP-IQ,970,17.382702350616455
1046,STAR-SHAP (5-STAR),1020,6.918808698654175
1047,Kernel SHAP,1020,64.32411575317383
1048,Unbiased Kernel SHAP,1020,18.538237810134888
1049,SHAP-IQ,1020,18.558955669403076
