,Algorithm,n,time,max fs size,mean MSE,budget,r2
702,SHAP-IQ,100,1.077582597732544,4,,428.0,0.28854582867957856
703,SHAP-IQ,100,1.2681705951690674,4,,533.0,0.4344545881352221
704,SHAP-IQ,100,1.2722899913787842,4,,533.0,0.35562035353471766
705,SHAP-IQ,100,1.2678697109222412,4,,533.0,0.4182440610002558
706,SHAP-IQ,100,1.2836880683898926,4,,533.0,0.43965949160128637
707,SHAP-IQ,100,1.2781596183776855,4,,533.0,0.400733422083435
708,SHAP-IQ,100,1.2803571224212646,4,,533.0,0.42038350486091747
709,SHAP-IQ,100,1.2722866535186768,4,,533.0,0.378201214331521
710,SHAP-IQ,100,1.2689576148986816,4,,533.0,0.41970665350980807
711,SHAP-IQ,100,1.2717154026031494,4,,533.0,0.34064165846664396
712,SHAP-IQ,100,1.2686913013458252,4,,533.0,0.35063742902033945
713,SHAP-IQ,100,1.2710521221160889,4,,533.0,0.44771761670852117
714,SHAP-IQ,100,1.2691121101379395,4,,533.0,0.4197368669047248
715,SHAP-IQ,100,1.268799066543579,4,,533.0,0.4106631662670891
716,SHAP-IQ,100,1.2747457027435303,4,,533.0,0.3515948617273078
717,SHAP-IQ,100,1.2752280235290527,4,,533.0,0.4037876086220187
718,SHAP-IQ,100,1.2812473773956299,4,,533.0,0.45039806749324207
719,SHAP-IQ,100,1.2817797660827637,4,,533.0,0.414397035719996
720,SHAP-IQ,100,1.2789983749389648,4,,533.0,0.46355774129676874
721,SHAP-IQ,100,1.2714996337890625,4,,533.0,0.39675096958030887
722,SHAP-IQ,100,1.2836148738861084,4,,533.0,0.4132116299411165
723,SHAP-IQ,100,1.4559683799743652,4,,638.0,0.46373218402304095
724,SHAP-IQ,100,1.4608769416809082,4,,638.0,0.5179525011135333
725,SHAP-IQ,100,1.4644100666046143,4,,638.0,0.44266514123206135
726,SHAP-IQ,100,1.4695789813995361,4,,638.0,0.49409467723499745
727,SHAP-IQ,100,1.4644699096679688,4,,638.0,0.44940738861253626
728,SHAP-IQ,100,1.467543125152588,4,,638.0,0.46057481615425844
729,SHAP-IQ,100,1.4566407203674316,4,,638.0,0.5509357999752579
730,SHAP-IQ,100,1.4695680141448975,4,,638.0,0.48445289438151484
731,SHAP-IQ,100,1.4610037803649902,4,,638.0,0.4538634927389279
732,SHAP-IQ,100,1.4688591957092285,4,,638.0,0.5057598600967498
733,SHAP-IQ,100,1.4622936248779297,4,,638.0,0.5103310112263094
734,SHAP-IQ,100,1.4633088111877441,4,,638.0,0.5368926482603731
735,SHAP-IQ,100,1.4692223072052002,4,,638.0,0.5092541427925745
736,SHAP-IQ,100,1.4640552997589111,4,,638.0,0.5365963057217111
737,SHAP-IQ,100,1.4616949558258057,4,,638.0,0.48970461964278034
738,SHAP-IQ,100,1.4590973854064941,4,,638.0,0.440673173520871
739,SHAP-IQ,100,1.461458683013916,4,,638.0,0.5081356537955629
740,SHAP-IQ,100,1.4643776416778564,4,,638.0,0.45053625546786147
741,SHAP-IQ,100,1.4516849517822266,4,,638.0,0.5088815166226621
742,SHAP-IQ,100,1.4671838283538818,4,,638.0,0.5397321879507325
743,SHAP-IQ,100,1.6463148593902588,4,,743.0,0.5982232536801204
744,SHAP-IQ,100,1.6580584049224854,4,,743.0,0.5921522017926972
745,SHAP-IQ,100,1.6583025455474854,4,,743.0,0.5707469180106106
746,SHAP-IQ,100,1.6681125164031982,4,,743.0,0.5681782104041748
747,SHAP-IQ,100,1.6505203247070312,4,,743.0,0.5439205184064906
748,SHAP-IQ,100,1.6621508598327637,4,,743.0,0.5567798522782421
749,SHAP-IQ,100,1.6563773155212402,4,,743.0,0.5453984781116957
750,SHAP-IQ,100,1.643754482269287,4,,743.0,0.5312724448705608
751,SHAP-IQ,100,1.6460864543914795,4,,743.0,0.5944454416660567
752,SHAP-IQ,100,1.6575675010681152,4,,743.0,0.5620282699773562
753,SHAP-IQ,100,1.6495134830474854,4,,743.0,0.5508546213869214
754,SHAP-IQ,100,1.6635222434997559,4,,743.0,0.5433574758505832
755,SHAP-IQ,100,1.6628811359405518,4,,743.0,0.5828485548475076
756,SHAP-IQ,100,1.6621356010437012,4,,743.0,0.5807682622366697
757,SHAP-IQ,100,1.6759862899780273,4,,743.0,0.5814249307632637
758,SHAP-IQ,100,1.6584045886993408,4,,743.0,0.5292566584981588
759,SHAP-IQ,100,1.6546382904052734,4,,743.0,0.6308408126698026
760,SHAP-IQ,100,1.649348258972168,4,,743.0,0.548288939317098
761,SHAP-IQ,100,1.6499946117401123,4,,743.0,0.5643104995901926
762,SHAP-IQ,100,1.653529405593872,4,,743.0,0.6250904891227052
763,SHAP-IQ,100,1.8290293216705322,4,,847.0,0.6094370020607528
764,SHAP-IQ,100,1.8339719772338867,4,,847.0,0.5934656990640372
