,C,algorithm,alpha,base_model_class,base_model_params,batch_size,dataset,fit time,fs_length,fs_type,gamma,kernel,learning_rate,max_bins,max_depth,max_rounds,max_theta,min_samples_leaf,n_iter,norm,rademacher,regularization,sigma,test R2,train R2,train pred time
89,,"RWRelu [1, 2, 3, 4, 5]-STAR",,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,abalone,11.494260311126707,"[1, 2, 3, 4, 5]",any,,,,,,,,,5000.0,571.5571994209977,637.9060656215863,1e-08,,0.5774804112930745,0.6052930958216444,2.871058940887451
90,,KernelRidge,1.0,,,,diabetes,0.0149459838867187,,,,rbf,,,,,,,,,,,,0.2824501338368747,0.691687259076516,0.0026710033416748
91,0.5,SVR,,,,,diabetes,0.0093319416046142,,,,,,,,,,,,,,,,0.2927561113252058,0.6683042999712583,0.008958101272583
92,,DecisionTreeRegressor,,,,,diabetes,0.0015759468078613,,,,,,,2.0,,,,,,,,,0.1050350113956294,0.4963948286497547,0.0002901554107666
93,,LinearRegression,,,,,diabetes,0.0010316371917724,,,,,,,,,,,,,,,,0.359408803817771,0.5554337250189864,0.0001184940338134
94,,ExplainableBoostingRegressor,,,,,diabetes,0.9439103603363036,,,,,0.01,512.0,,15000.0,,1.0,,,,,,0.3312591717303051,0.7108076173385918,0.0005853176116943
95,,KernelRidge,0.05,,,,california housing,11.045323610305786,,,,rbf,,,,,,,,,,,,0.7708744164722467,0.7997260501667904,3.1385481357574463
96,50.0,SVR,,,,,california housing,34.620978593826294,,,,,,,,,,,,,,,,0.770444791964588,0.8040487652678687,6.91157341003418
97,,DecisionTreeRegressor,,,,,california housing,0.1005318164825439,,,,,,,10.0,,,,,,,,,0.6770872339842084,0.8369838179078153,0.0011508464813232
98,,LinearRegression,,,,,california housing,0.0047972202301025,,,,,,,,,,,,,,,,0.5911695436410489,0.6109633715458154,0.0004599094390869
99,,ExplainableBoostingRegressor,,,,,california housing,26.644859075546265,,,,,0.01,512.0,,15000.0,,2.0,,,,,,0.8219686977200866,0.8553294172015419,0.0053770542144775
100,,KernelRidge,0.01,,,,concrete,0.0202143192291259,,,,rbf,,,,,,,,,,,,0.8314147863118708,0.9643421179899642,0.0101842880249023
101,50.0,SVR,,,,,concrete,0.1162641048431396,,,,,,,,,,,,,,,,0.799420209811256,0.965725849281792,0.0159201622009277
102,,DecisionTreeRegressor,,,,,concrete,0.0087537765502929,,,,,,,10.0,,,,,,,,,0.7960580615603821,0.9843568195728876,0.0003173351287841
103,,LinearRegression,,,,,concrete,0.0019550323486328,,,,,,,,,,,,,,,,0.6234704748356755,0.6108763464892633,0.000291109085083
104,,ExplainableBoostingRegressor,,,,,concrete,3.4504103660583496,,,,,0.02,512.0,,15000.0,,2.0,,,,,,0.9309866087359236,0.973928196423434,0.0006556510925292
105,,KernelRidge,0.1,,,,wine,0.0034773349761962,,,,rbf,,,,,,,,,,,,0.9511805865345913,0.9944005981995788,0.0011861324310302
106,1.0,SVR,,,,,wine,0.002260684967041,,,,,,,,,,,,,,,,0.9501668147448296,0.9854022292237988,0.0011677742004394
107,,DecisionTreeRegressor,,,,,wine,0.0013463497161865,,,,,,,5.0,,,,,,,,,0.8671259842519684,1.0,0.0001940727233886
108,,LinearRegression,,,,,wine,0.0011398792266845,,,,,,,,,,,,,,,,0.8043532631769523,0.9185280688798012,0.0001606941223144
109,,ExplainableBoostingRegressor,,,,,wine,4.132021903991699,,,,,0.02,512.0,,15000.0,,1.0,,,,,,0.8966356366704537,0.9911284813597993,0.0005700588226318
110,,KernelRidge,0.01,,,,conductivity,12.054298877716064,,,,rbf,,,,,,,,,,,,0.872480019243637,0.9053449985944734,3.352132797241211
111,50.0,SVR,,,,,conductivity,19.70178532600403,,,,,,,,,,,,,,,,0.8619526749283881,0.8958040477736093,8.917271852493286
112,,DecisionTreeRegressor,,,,,conductivity,1.106645584106445,,,,,,,20.0,,,,,,,,,0.8820107024415341,0.9838041684029596,0.0042366981506347
113,,LinearRegression,,,,,conductivity,0.0340080261230468,,,,,,,,,,,,,,,,0.7358731290835572,0.7374511820306787,0.0014624595642089
114,,ExplainableBoostingRegressor,,,,,conductivity,228.94551301002505,,,,,0.01,1024.0,,25000.0,,3.0,,,,,,0.9027813135912552,0.9607019821291868,0.0638802051544189
115,,KernelRidge,0.5,,,,abalone,0.2925829887390136,,,,rbf,,,,,,,,,,,,0.5867597353391554,0.6035719832528172,0.1351850032806396
116,5.0,SVR,,,,,abalone,0.444098949432373,,,,,,,,,,,,,,,,0.5638505577834982,0.594028256549781,0.3404302597045898
117,,DecisionTreeRegressor,,,,,abalone,0.0116009712219238,,,,,,,5.0,,,,,,,,,0.4988092262378086,0.554277398504089,0.0002796649932861
118,,LinearRegression,,,,,abalone,0.0017690658569335,,,,,,,,,,,,,,,,0.542889880221778,0.5352783720797701,0.0002918243408203
119,,ExplainableBoostingRegressor,,,,,abalone,2.001185178756714,,,,,0.02,512.0,,15000.0,,3.0,,,,,,0.552047934453922,0.6414941166971655,0.001375436782836914
